iter	Passed	Remaining
0	146	146460
1	147	73681
2	149	49790
3	152	37870
4	152	30413
5	153	25464
6	154	21884
7	154	19185
8	156	17240
9	157	15618
10	158	14268
11	159	13150
12	160	12173
13	161	11368
14	162	10667
15	163	10055
16	164	9487
17	165	9013
18	166	8605
19	168	8233
20	169	7888
21	170	7570
22	171	7288
23	172	7022
24	173	6765
25	174	6535
26	175	6324
27	176	6124
28	177	5931
29	177	5748
30	178	5576
31	179	5417
32	179	5265
33	180	5123
34	181	4990
35	181	4860
36	182	4737
37	182	4620
38	182	4509
39	183	4403
40	183	4302
41	184	4206
42	184	4115
43	185	4027
44	185	3944
45	186	3864
46	186	3789
47	187	3715
48	187	3645
49	188	3579
50	188	3514
51	189	3451
52	189	3391
53	190	3334
54	190	3280
55	191	3226
56	191	3176
57	192	3125
58	193	3078
59	193	3034
60	194	2989
61	194	2947
62	195	2906
63	196	2866
64	196	2827
65	197	2790
66	197	2753
67	198	2718
68	198	2684
69	199	2651
70	200	2619
71	200	2587
72	201	2556
73	201	2527
74	202	2498
75	203	2470
76	203	2443
77	204	2416
78	205	2390
79	205	2365
80	206	2341
81	207	2318
82	207	2291
83	208	2270
84	209	2250
85	210	2233
86	211	2216
87	211	2197
88	212	2179
89	213	2161
90	214	2142
91	215	2124
92	215	2106
93	216	2089
94	217	2072
95	218	2055
96	219	2039
97	219	2022
98	220	2006
99	221	1990
100	221	1974
101	222	1961
102	223	1949
103	224	1936
104	225	1925
105	226	1912
106	227	1899
107	228	1885
108	229	1872
109	229	1860
110	230	1847
111	231	1834
112	232	1825
113	233	1813
114	234	1802
115	234	1790
116	235	1777
117	236	1766
118	237	1759
119	238	1750
120	239	1741
121	240	1731
122	241	1722
123	242	1712
124	243	1703
125	244	1694
126	245	1684
127	246	1676
128	247	1669
129	248	1661
130	249	1652
131	250	1645
132	251	1637
133	252	1629
134	252	1620
135	253	1612
136	254	1604
137	255	1597
138	256	1589
139	257	1583
140	258	1576
141	259	1567
142	260	1560
143	261	1553
144	262	1546
145	263	1539
146	264	1533
147	265	1527
148	266	1520
149	267	1514
150	268	1508
151	269	1501
152	270	1495
153	271	1489
154	271	1482
155	272	1475
156	273	1469
157	274	1463
